subject,opponent,seed,num_rounds,first_round,last_round,per_c,per_C,per_cC,per_cD,per_dC,per_dD,avg_score,avg_net_score
TIFT,TICH,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TICHra,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TICHra,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TICHra,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TICHra,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TICHra,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TICHor,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TICHor,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TICHor,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TICHor,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TICHor,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TICHcx,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,2.9849246231155777,-0.02512562814070352
TIFT,TICHcx,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,2.9849246231155777,-0.02512562814070352
TIFT,TICHcx,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,2.9849246231155777,-0.02512562814070352
TIFT,TICHcx,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,2.9849246231155777,-0.02512562814070352
TIFT,TICHcx,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,2.9849246231155777,-0.02512562814070352
TIFT,TICHxx,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,2.9849246231155777,-0.02512562814070352
TIFT,TICHxx,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,2.9849246231155777,-0.02512562814070352
TIFT,TICHxx,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,2.9849246231155777,-0.02512562814070352
TIFT,TICHxx,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,2.9849246231155777,-0.02512562814070352
TIFT,TICHxx,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,2.9849246231155777,-0.02512562814070352
TIFT,FELDhl,0,200,1,200,0.19095477386934678,0.19095477386934678,0.19,0.0,0.0,0.805,1.3768844221105527,-0.02512562814070352
TIFT,FELDhl,1,200,1,200,0.12060301507537685,0.12060301507537685,0.12,0.0,0.0,0.875,1.2763819095477387,-0.02512562814070352
